,title,vote,country,time,open_date,grade,poster_path,genre_1,genre_2,genre_3,genre_4,actor_1,actor_2,actor_3,content
1,왕십리 김종분,관람객 평점 없음,한국,102분,2021.11.11,12세 관람가,https://movie-phinf.pstatic.net/20211026_135/16352352904529aeAA_JPEG/movie_image.jpg?type=m203_290_2,다큐멘터리,,,,김종분, 김귀임, 김종수,"50년 넘게 노점을 해온 팔순의 김종분.', <br/>왕십리역 11번 출구 터줏대감이자 현역이다.', <br/>', <br/>자식 먹이고 입히고 공부시키려고 시작한 일인데,', <br/>자식 거둘 일 없어진 지금도 그곳을 지키고 있다.', <br/>30년 전 길 위에서 딸을 잃었지만, 더 많은 자식들을 얻었다.', <br/>', <br/>종분 씨는 딸 잃은 길 위에서', <br/>옥수수를 삶고, 가래떡을 굽고, 깻잎을 갠다.', <br/>오늘을 산다."
2,결혼 후에 남겨진 것들,관람객 평점 없음,미국,97분,2021.1,전체 관람가,https://movie-phinf.pstatic.net/20210928_272/1632791807061fiSix_JPEG/movie_image.jpg?type=m203_290_2,멜로/로맨스, 드라마,,,로스 맥콜, 앨리슨 밀러,,"10년 된 부부 라이언과 클로디아는 옛 추억을 떠올리며, 신혼여행지 이탈리아를 다시 찾는다.<br/>두 사람은 아름다운 풍경 속에서 함께 시간을 보내며, 오랜 결혼 생활로 잃어버린 무언가를 되찾으려 한다.<br/>하지만 클로디아가 다른 남자에게 쓴 연애편지를 라이언이 언급하면서 두 사람 사이의 갈등은 더욱 깊어지는데..."
5,피어썸,관람객 평점 없음,한국,82분,2021.10.07,15세 관람가,https://movie-phinf.pstatic.net/20210917_247/1631854202877hx03Y_JPEG/movie_image.jpg?type=m203_290_2,공포, 미스터리,,,조동혁, 차선우,,"공연을 할 수 없게 된 ‘승연’(조동혁)의 밴드는', <br/>재정비를 위해 춘천으로 떠나고,', <br/>우연히 그곳 클럽에서 멋진 실력을 보여준 그들은', <br/>정식 공연 제안과, 멋진 숙소까지 제공받게 된다.', <br/>', <br/>하지만 휴식도 잠시 기타리스트 ‘재혁’(차선우)이', <br/>뭔가에 홀린 듯 점점 섬뜩한 행동을 하기 시작하고,', <br/>곧 이 집에 자신들만 있는 게 아니라는 사실을 알게 되는데…"
6,피치 오브 타임 극장판,관람객 평점 없음,한국,99분,2021.10.21,12세 관람가,https://movie-phinf.pstatic.net/20210930_277/1632967172071mdLTA_JPEG/movie_image.jpg?type=m203_290_2,멜로/로맨스, 드라마,,,지미 칸 크리사나판, 최재현, 토미 싯티촉 푸에크풀폴,"친구 윤오의 연락을 받고 한국에 도착한 피치.', <br/>그렇게 날 반갑게 맞아준 윤오가 사실은 귀신이라고?!', <br/>25년째 한국을 떠나지 못하는 떠돌이 태국 귀신 마리오를 만난 피치는', <br/>윤오가 자신이 죽었다는 사실도 모른 채 지박령이 되었다는 걸 알게 된다.', <br/>악귀가 되지 않고 무사히 환생하려면', <br/>죽은 날로부터 49일안에 이승에서 풀지 못한 한을 풀어야 한다!', <br/>도대체 윤오가 그토록 원하던 일이 무엇이었을까?', <br/>함께 버킷리스트를 찾아가면서', <br/>서로를 향한 마음은 점점 커져가고 이별의 시간이 다가오는데…"
8,레드 아워,관람객 평점 없음,미국,93분,2021.1,15세 관람가,https://movie-phinf.pstatic.net/20210923_101/1632377012095mnKGS_JPEG/movie_image.jpg?type=m203_290_2,액션, 스릴러,,,타이레스 깁슨, 존 말코비치,,아동보호국에서 근무하는 카일은 아프가니스탄 파병지에서 동료를 잃었던 끔찍한 기억으로 힘든 나날을 보낸다.<br/>직장 동료와 맥시코 출신 미아 매니와 함께 계부이자 하원의원인 샘이 운영하는 넬슨 매장에 잠시 들렀던 카일은 매장 직원들 및 다른 고객들과 함께 자살폭탄 테러범의 인질이 된다.<br/>카일은 다른 인질들을 구하기 위해 테러범과 목숨을 건 싸움 끝에 테러범들을 제압하고 인질들과 함께 폭파 직전에 매장에서 탈출해야만 하는데...
9,비하인드 유,관람객 평점 없음,미국,86분,2021.10.28,15세 관람가,https://movie-phinf.pstatic.net/20211006_242/16334966809722d0b0_JPEG/movie_image.jpg?type=m203_290_2,공포,,,,애디 밀러, 잔 브로버그 펠트, 필립 브로디,"엄마의 갑작스러운 죽음으로<br/>‘베스’ 이모의 집으로 오게 된 ‘올리비아’와 ‘클레어’.<br/>그날 밤, 기묘한 목소리를 듣게 된 ‘클레어’는 언니 몰래<br/>출입금지였던 지하실로 들어가게 되고,<br/>그곳에서 충격적인 실체와 마주하게 되는데…"
10,구원받은 도둑,관람객 평점 없음,미국,93분,2021.10.28,12세 관람가,https://movie-phinf.pstatic.net/20211025_295/1635144523476p5bgo_JPEG/movie_image.jpg?type=m203_290_2,드라마,,,,제이 지앤넌, 스텔리오 사반트,,어린 소년 디스마스는 어머니를 잃고 동생 요담과 함께 사막을 떠돌다 한 도적 무리를 만나 그들과 함께 오랜 시간을 도적질로 일생을 보내다. 어느 날 형제는 로마 군사에게 체포되어 죄값으로 죽음을 마주하고 함께 십자가에 못박힌 예수를 보며 위대한 고백을 하는데…
11,케이지드,관람객 평점 없음,미국,80분,2021.11.11,15세 관람가,https://movie-phinf.pstatic.net/20211103_62/1635915325328vK4D6_PNG/movie_image.jpg?type=m203_290_2,스릴러, 드라마, 공포, 범죄,에디 가테지, 멜로라 하든,,"정신과 의사 할로우는 아내 앰버를 죽였다는 이유로 무기징역을 선고받고, 독방에 일주일 동안 수감된다. 악명높기로 소문난 색스 교도관은 할로우가 유죄라 확신하고 각종 이유로 할로우의 독방 생활 기간을 연장한다.', <br/>옆방 죄수의 자살과 길어지는 독방 생활 중에도 무죄를 확신하며 억울함을 호소하던 할로우는 자신이 몰랐던 아내의 죽음에 대한 어두운 진실이 있음을 알게 되고….', <br/>', <br/>최후의 순간! 그에게 주어진 시간은 단 1분.', <br/>과연 할로우는 그날의 진실을 마주할 수 있을까?"
12,색다른 그녀,관람객 평점 없음,한국,108분,2021.10.14,청소년 관람불가,https://movie-phinf.pstatic.net/20211001_27/1633064014267carNI_JPEG/movie_image.jpg?type=m203_290_2,멜로/로맨스, 코미디,,,혁, 장성윤,,"여자친구 ‘지연’과 결혼을 앞둔 완벽남 ‘완준’', <br/>', <br/>‘완준’은 사고뭉치 선배로부터 받은 부탁으로', <br/>‘지연’에게도 말 못 할 은밀한 비밀을 갖게 된다.', <br/>', <br/>어느 날, ‘완준’은 ', <br/>자신을 짝사랑하는 직장동료 ‘예리’에게', <br/>이 사실을 들키게 되고,', <br/>그녀와 뜻밖의 계약을 맺게 되는데…', <br/>', <br/>갑자기 꼬여버린 인생!', <br/>무사히 결혼에 골인할 수 있을까?!"
13,여대괴담,관람객 평점 없음,중국,88분,2021.09,15세 관람가,https://movie-phinf.pstatic.net/20210831_72/1630372947127FXtNk_JPEG/movie_image.jpg?type=m203_290_2,공포, 스릴러,,,전계문, 강호문,,"어릴 적 장애로 인해 언어치료사의 꿈을 갖고 있었던 이진흔은 대학 시험을 망치는 바람에 집에서 멀리 떨어진 외딴 대학 언어치료학과에 입학을 하게 된다. 기숙사 3층을 홀로 쓰게 된 진흔은 밤마다 계속되는 이상한 소리에 시달리는데... 그러던 어느 날 방에 숨어 들어온 유미라는 학생과 친구가 된다. 학교에서 만난 친구들은 모두가 까칠하게 굴었지만, 유미는 그들과 달리 진흔에게 살갑게 굴고 같이 시간을 보내면서 금세 친해진다. 그러나 학교에서는 계속 이상한 일들이 일어나고, 유미는 그때마다 진흔을 구해주는데..."
